Timestamp,SeriesCode,Series,Lost megawatts
07/01/2024 21:00:00,NZ_G,Geothermal,45.7
07/01/2024 21:00:00,NZ_H,Hydro,666.3
07/01/2024 21:00:00,NZ_T,Thermal,521.0
07/01/2024 21:00:00,NZ_W,Wind,193.9
07/01/2024 21:00:00,UNKN,Unknown,60.0
08/01/2024 06:00:00,NZ_G,Geothermal,45.7
08/01/2024 06:00:00,NZ_H,Hydro,666.3
08/01/2024 06:00:00,NZ_T,Thermal,521.0
08/01/2024 06:00:00,NZ_W,Wind,193.9
08/01/2024 06:00:00,UNKN,Unknown,70.0
08/01/2024 07:00:00,NZ_G,Geothermal,45.7
08/01/2024 07:00:00,NZ_H,Hydro,751.3
08/01/2024 07:00:00,NZ_T,Thermal,521.0
08/01/2024 07:00:00,NZ_W,Wind,193.9
08/01/2024 07:00:00,UNKN,Unknown,70.0
08/01/2024 09:30:00,NZ_G,Geothermal,45.7
08/01/2024 09:30:00,NZ_H,Hydro,751.3
08/01/2024 09:30:00,NZ_T,Thermal,566.0
08/01/2024 09:30:00,NZ_W,Wind,193.9
08/01/2024 09:30:00,UNKN,Unknown,70.0
08/01/2024 12:00:00,NZ_G,Geothermal,45.7
08/01/2024 12:00:00,NZ_H,Hydro,791.3
08/01/2024 12:00:00,NZ_T,Thermal,566.0
08/01/2024 12:00:00,NZ_W,Wind,193.9
08/01/2024 12:00:00,UNKN,Unknown,70.0
08/01/2024 16:00:00,NZ_G,Geothermal,45.7
08/01/2024 16:00:00,NZ_H,Hydro,791.3
08/01/2024 16:00:00,NZ_T,Thermal,521.0
08/01/2024 16:00:00,NZ_W,Wind,193.9
08/01/2024 16:00:00,UNKN,Unknown,70.0
08/01/2024 16:30:00,NZ_G,Geothermal,45.7
08/01/2024 16:30:00,NZ_H,Hydro,772.8
08/01/2024 16:30:00,NZ_T,Thermal,521.0
08/01/2024 16:30:00,NZ_W,Wind,193.9
08/01/2024 16:30:00,UNKN,Unknown,70.0
08/01/2024 17:30:00,NZ_G,Geothermal,45.7
08/01/2024 17:30:00,NZ_H,Hydro,732.8
08/01/2024 17:30:00,NZ_T,Thermal,521.0
08/01/2024 17:30:00,NZ_W,Wind,193.9
08/01/2024 17:30:00,UNKN,Unknown,70.0
09/01/2024 02:00:00,NZ_G,Geothermal,45.7
09/01/2024 02:00:00,NZ_H,Hydro,732.8
09/01/2024 02:00:00,NZ_T,Thermal,521.0
09/01/2024 02:00:00,NZ_W,Wind,193.9
09/01/2024 02:00:00,UNKN,Unknown,80.0
09/01/2024 08:00:00,NZ_G,Geothermal,45.7
09/01/2024 08:00:00,NZ_H,Hydro,776.8
09/01/2024 08:00:00,NZ_T,Thermal,521.0
09/01/2024 08:00:00,NZ_W,Wind,193.9
09/01/2024 08:00:00,UNKN,Unknown,80.0
09/01/2024 09:00:00,NZ_G,Geothermal,45.7
09/01/2024 09:00:00,NZ_H,Hydro,776.8
09/01/2024 09:00:00,NZ_T,Thermal,521.0
09/01/2024 09:00:00,NZ_W,Wind,193.9
09/01/2024 09:00:00,UNKN,Unknown,81.0
09/01/2024 10:00:00,NZ_G,Geothermal,45.7
09/01/2024 10:00:00,NZ_H,Hydro,831.8
09/01/2024 10:00:00,NZ_T,Thermal,521.0
09/01/2024 10:00:00,NZ_W,Wind,193.9
09/01/2024 10:00:00,UNKN,Unknown,81.0
09/01/2024 11:00:00,NZ_G,Geothermal,45.7
09/01/2024 11:00:00,NZ_H,Hydro,831.8
09/01/2024 11:00:00,NZ_T,Thermal,521.0
09/01/2024 11:00:00,NZ_W,Wind,193.9
09/01/2024 11:00:00,UNKN,Unknown,82.0
09/01/2024 13:00:00,NZ_G,Geothermal,45.7
09/01/2024 13:00:00,NZ_H,Hydro,851.8
09/01/2024 13:00:00,NZ_T,Thermal,521.0
09/01/2024 13:00:00,NZ_W,Wind,193.9
09/01/2024 13:00:00,UNKN,Unknown,82.0
09/01/2024 14:00:00,NZ_G,Geothermal,45.7
09/01/2024 14:00:00,NZ_H,Hydro,851.8
09/01/2024 14:00:00,NZ_T,Thermal,521.0
09/01/2024 14:00:00,NZ_W,Wind,193.9
09/01/2024 14:00:00,UNKN,Unknown,79.0
09/01/2024 15:00:00,NZ_G,Geothermal,45.7
09/01/2024 15:00:00,NZ_H,Hydro,831.8
09/01/2024 15:00:00,NZ_T,Thermal,521.0
09/01/2024 15:00:00,NZ_W,Wind,193.9
09/01/2024 15:00:00,UNKN,Unknown,79.0
09/01/2024 16:00:00,NZ_G,Geothermal,45.7
09/01/2024 16:00:00,NZ_H,Hydro,827.8
09/01/2024 16:00:00,NZ_T,Thermal,521.0
09/01/2024 16:00:00,NZ_W,Wind,193.9
09/01/2024 16:00:00,UNKN,Unknown,79.0
09/01/2024 16:30:00,NZ_G,Geothermal,45.7
09/01/2024 16:30:00,NZ_H,Hydro,772.8
09/01/2024 16:30:00,NZ_T,Thermal,521.0
09/01/2024 16:30:00,NZ_W,Wind,193.9
09/01/2024 16:30:00,UNKN,Unknown,78.0
09/01/2024 17:30:00,NZ_G,Geothermal,45.7
09/01/2024 17:30:00,NZ_H,Hydro,732.8
09/01/2024 17:30:00,NZ_T,Thermal,521.0
09/01/2024 17:30:00,NZ_W,Wind,193.9
09/01/2024 17:30:00,UNKN,Unknown,78.0
09/01/2024 18:32:00,NZ_G,Geothermal,45.7
09/01/2024 18:32:00,NZ_H,Hydro,787.8
09/01/2024 18:32:00,NZ_T,Thermal,521.0
09/01/2024 18:32:00,NZ_W,Wind,193.9
09/01/2024 18:32:00,UNKN,Unknown,78.0
09/01/2024 19:00:00,NZ_G,Geothermal,45.7
09/01/2024 19:00:00,NZ_H,Hydro,873.8
09/01/2024 19:00:00,NZ_T,Thermal,521.0
09/01/2024 19:00:00,NZ_W,Wind,193.9
09/01/2024 19:00:00,UNKN,Unknown,78.0
09/01/2024 23:00:00,NZ_G,Geothermal,45.7
09/01/2024 23:00:00,NZ_H,Hydro,873.8
09/01/2024 23:00:00,NZ_T,Thermal,521.0
09/01/2024 23:00:00,NZ_W,Wind,193.9
09/01/2024 23:00:00,UNKN,Unknown,68.0
10/01/2024 05:35:00,NZ_G,Geothermal,45.7
10/01/2024 05:35:00,NZ_H,Hydro,888.8
10/01/2024 05:35:00,NZ_T,Thermal,521.0
10/01/2024 05:35:00,NZ_W,Wind,193.9
10/01/2024 05:35:00,UNKN,Unknown,68.0
10/01/2024 07:30:00,NZ_G,Geothermal,45.7
10/01/2024 07:30:00,NZ_H,Hydro,1004.8
10/01/2024 07:30:00,NZ_T,Thermal,521.0
10/01/2024 07:30:00,NZ_W,Wind,193.9
10/01/2024 07:30:00,UNKN,Unknown,68.0
10/01/2024 08:00:00,NZ_G,Geothermal,45.7
10/01/2024 08:00:00,NZ_H,Hydro,1053.8
10/01/2024 08:00:00,NZ_T,Thermal,566.0
10/01/2024 08:00:00,NZ_W,Wind,229.9
10/01/2024 08:00:00,UNKN,Unknown,68.0
10/01/2024 09:00:00,NZ_G,Geothermal,45.7
10/01/2024 09:00:00,NZ_H,Hydro,1136.0
10/01/2024 09:00:00,NZ_T,Thermal,566.0
10/01/2024 09:00:00,NZ_W,Wind,229.9
10/01/2024 09:00:00,UNKN,Unknown,68.0
10/01/2024 09:30:00,NZ_G,Geothermal,45.7
10/01/2024 09:30:00,NZ_H,Hydro,1136.0
10/01/2024 09:30:00,NZ_T,Thermal,566.0
10/01/2024 09:30:00,NZ_W,Wind,229.9
10/01/2024 09:30:00,UNKN,Unknown,74.0
10/01/2024 10:00:00,NZ_G,Geothermal,81.7
10/01/2024 10:00:00,NZ_H,Hydro,1246.0
10/01/2024 10:00:00,NZ_T,Thermal,566.0
10/01/2024 10:00:00,NZ_W,Wind,193.9
10/01/2024 10:00:00,UNKN,Unknown,74.0
10/01/2024 10:30:00,NZ_G,Geothermal,81.7
10/01/2024 10:30:00,NZ_H,Hydro,1246.0
10/01/2024 10:30:00,NZ_T,Thermal,566.0
10/01/2024 10:30:00,NZ_W,Wind,193.9
10/01/2024 10:30:00,UNKN,Unknown,74.0
10/01/2024 11:00:00,NZ_G,Geothermal,81.7
10/01/2024 11:00:00,NZ_H,Hydro,1246.0
10/01/2024 11:00:00,NZ_T,Thermal,566.0
